"Timestamp","Please provide your Worker's ID.","All the agents know which goal they are trying to reach.","Multiple agents may all be trying to reach the same goal.","The goals have different colors in the grid-world environment.","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Confirm your Worker's ID."
"2021/08/25 2:50:49 AM AST","A11XNLNYP9I1OT","True","True","False","A","B","B","A","A","B","B","A","B","A","A","B","A","B","A","A","A11XNLNYP9I1OT"
"2021/08/25 3:50:03 AM AST","AP7NROSKQ4AXA","True","True","True","B","A","A","B","A","B","A","B","B","A","B","B","B","A","A","A","AP7NROSKQ4AXA"
"2021/08/25 7:42:42 AM AST","A2VDSTUNVA6224","True","True","False","A","B","B","A","B","A","B","A","B","A","A","A","A","A","B","B","A2VDSTUNVA6224"
"2021/08/25 8:11:38 AM AST","A37ABOSDI4FES8","True","True","True","A","A","A","B","A","A","A","B","B","A","A","B","A","A","B","B","A37ABOSDI4FES8"
"2021/08/25 8:12:59 AM AST","APRHR60T52KR9","True","True","True","B","A","A","B","A","B","A","B","B","A","B","B","B","B","B","B","APRHR60T52KR9"
"2021/08/25 8:14:54 AM AST","A20JHQHVYQ8C21","True","True","False","A","B","B","A","B","A","B","A","B","A","A","B","A","A","B","B","A20JHQHVYQ8C21"
"2021/08/25 8:19:12 AM AST","A2A1FWIO7JUL7Z","True","True","False","B","B","A","B","B","B","B","A","A","B","B","B","B","B","A","B","A2A1FWIO7JUL7Z"
"2021/08/25 8:22:00 AM AST","A1TJ5X28X3XDG3","True","True","True","A","A","B","B","B","A","B","B","B","A","A","A","A","A","B","B","A1TJ5X28X3XDG3"
"2021/08/25 8:29:33 AM AST","A3E4536LXZPEED","True","True","False","A","B","B","A","B","A","B","B","B","A","A","A","A","B","B","B","A3E4536LXZPEED"
"2021/08/25 8:40:46 AM AST","AP70JQELL4I1Z","True","True","False","B","A","A","B","A","B","A","B","B","A","A","A","A","B","B","B","AP70JQELL4I1Z"
"2021/08/25 8:44:41 AM AST","A32EIAHFAQCYAB","False","True","False","B","A","A","B","A","A","A","A","B","A","A","A","A","A","B","B","A32EIAHFAQCYAB"
"2021/08/25 9:16:25 AM AST","A3476YMDXVK2QS","True","True","False","A","A","B","A","B","A","B","B","B","A","A","A","A","B","B","B","A3476YMDXVK2QS"
"2021/08/25 9:21:31 AM AST","A2A4FR0UVULXHB","True","True","False","A","B","B","A","B","B","B","B","B","A","A","A","A","A","B","B","A2A4FR0UVULXHB"
"2021/08/25 9:23:45 AM AST","A38LWZQ689P5B3","True","False","True","B","B","B","A","A","A","B","A","B","A","A","A","A","A","B","B","A38LWZQ689P5B3"
"2021/08/25 9:35:15 AM AST","A1BMQ3VW09GH4W","True","False","True","B","A","B","B","A","B","A","A","A","B","B","A","A","B","A","A","A1BMQ3VW09GH4W"
"2021/08/25 9:39:36 AM AST","ASU28G192KR6A","True","True","False","B","A","A","A","B","B","B","B","B","A","A","A","A","A","B","B","ASU28G192KR6A"
"2021/08/25 9:40:57 AM AST","A2WOM4CFEA63ZI","True","True","True","B","A","A","B","A","B","A","B","A","B","B","B","B","A","A","A","A2WOM4CFEA63ZI"
"2021/08/25 9:48:48 AM AST","A3RS77XKBVX2IE","True","True","False","B","A","B","B","A","B","A","A","B","A","A","A","B","A","B","B","A3RS77XKBVX2IE"
"2021/08/25 9:52:09 AM AST","A3E88VA2VO94TN","True","True","False","A","A","B","B","A","B","B","A","B","A","A","B","A","B","B","B","A3E88VA2VO94TN"
"2021/08/25 9:55:55 AM AST","A35TMPLPX9B1LY","True","True","False","A","A","A","B","B","B","B","B","B","A","A","B","A","B","B","B","A35TMPLPX9B1LY"
