"Timestamp","Please provide your Worker's ID.","All the agents know which goal they are trying to reach.","Multiple agents may all be trying to reach the same goal.","The goals have different colors in the grid-world environment.","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","","","","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","","","","Confirm your Worker's ID."
"2021/08/23 1:59:50 PM AST","A2Q66Z7GFMQT6C","True","True","False","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","None","None","Lettuce","Tomato","None","Lettuce","Plate","Tomato","Lettuce","None","None","None","Plate","Plate","Plate","Plate","Plate","None","None","None","None","None","None","None","None","None","Lettuce","None","None","None","Lettuce","Tomato","None","Tomato","Plate","Lettuce","A","B","B","A2Q66Z7GFMQT6C"
"2021/08/23 2:05:18 PM AST","AKF47Q3H1HXKO","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","B","A","B","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Lettuce","Tomato","A","A","A","AKF47Q3H1HXKO"
"2021/08/23 2:05:51 PM AST","A28ARPWJLLN2UV","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Square goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Circle goal","Circle goal","B","B","B","Tomato","Plate","Tomato","Tomato","Lettuce","Lettuce","Plate","Tomato","Lettuce","Lettuce","Tomato","Tomato","Plate","Lettuce","Tomato","Lettuce","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Lettuce","Tomato","Tomato","Lettuce","Lettuce","Tomato","Lettuce","None","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","A","A","B","A28ARPWJLLN2UV"
"2021/08/23 2:06:36 PM AST","ANUX2H3RDBAMQ","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","Plate","Plate","None","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Tomato","Lettuce","Plate","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","None","Lettuce","Tomato","Plate","None","Tomato","Lettuce","Tomato","B","A","A","ANUX2H3RDBAMQ"
"2021/08/23 2:06:50 PM AST","AE0U6O2OBSF1W","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","A","A","None","None","None","None","None","None","None","None","None","Lettuce","Tomato","None","Lettuce","Lettuce","Lettuce","Plate","Plate","Plate","None","None","None","Tomato","Plate","None","Plate","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","None","Plate","Plate","Tomato","Lettuce","None","A","B","B","AE0U6O2OBSF1W"
"2021/08/23 2:07:47 PM AST","A24798TUSBPAT4","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","None","None","Lettuce","Tomato","None","Lettuce","Tomato","None","Lettuce","None","None","None","None","None","None","Plate","None","Tomato","Tomato","None","None","Plate","None","None","Plate","Lettuce","None","None","None","None","None","None","None","Plate","Lettuce","Plate","A","B","A","A24798TUSBPAT4"
"2021/08/23 2:08:04 PM AST","A28GTU2LJZH4V9","True","True","True","Circle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Square goal","Square goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","A","B","A","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","None","Lettuce","Plate","Lettuce","Plate","Plate","Lettuce","Tomato","Plate","Lettuce","None","Tomato","Lettuce","None","Plate","Lettuce","None","Tomato","Lettuce","None","Tomato","Plate","Lettuce","Tomato","Lettuce","Plate","B","A","A","A28GTU2LJZH4V9"
"2021/08/23 2:09:20 PM AST","A1CNOZWR15Z91O","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","A","B","A","Lettuce","Plate","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Tomato","Lettuce","Tomato","Plate","Tomato","Lettuce","Plate","Tomato","Tomato","Lettuce","Plate","Lettuce","Tomato","Tomato","Lettuce","Tomato","Tomato","Lettuce","Tomato","Tomato","Lettuce","Plate","Lettuce","Tomato","Plate","Tomato","Lettuce","A","B","A","A1CNOZWR15Z91O"
"2021/08/23 2:09:46 PM AST","A2PBKOF4HSPFI0","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","Plate","Tomato","Lettuce","Plate","Lettuce","Lettuce","Plate","Tomato","Lettuce","None","None","Lettuce","Tomato","None","None","Plate","Lettuce","Plate","Plate","Tomato","None","Tomato","Lettuce","None","Plate","Lettuce","None","None","None","None","Plate","None","None","Tomato","Lettuce","Tomato","B","A","B","A2PBKOF4HSPFI0"
"2021/08/23 2:09:49 PM AST","A16SYG5T76M5OK","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Circle goal","Square goal","Triangle goal","Square goal","Circle goal","Square goal","A","B","B","Plate","Lettuce","Tomato","Tomato","Tomato","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Plate","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Tomato","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Lettuce","Lettuce","Tomato","None","Tomato","Lettuce","B","A","B","A16SYG5T76M5OK"
